"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"03/10/2026","ALEVENDA   #020204","SUPPL-90","NAPROXEN SODIUM","BAYER","Labeling","Approval"
"03/10/2026","KARBINAL ERNDA   #022556","SUPPL-15","CARBINOXAMINE MALEATE","AYTU","Labeling","Approval"
"03/10/2026","DOXIL (LIPOSOMAL)NDA   #050718","SUPPL-64","DOXORUBICIN HYDROCHLORIDE","BAXTER HLTHCARE CORP","Labeling","Approval"
"03/10/2026","METRONIDAZOLEANDA  #070772","SUPPL-53","METRONIDAZOLE","INNOGENIX","Labeling","Approval"
"03/10/2026","ADAPALENEANDA  #090962","SUPPL-8","ADAPALENE","P AND L","Manufacturing (CMC)","Approval"
"03/10/2026","QUILLICHEW ERNDA   #207960","SUPPL-21","METHYLPHENIDATE HYDROCHLORIDE","NEXTWAVE PHARMS","Labeling","Approval"
"03/10/2026","OGSIVEONDA   #217677","SUPPL-6","NIROGACESTAT HYDROBROMIDE","SPRINGWORKS","Labeling","Approval"
"03/10/2026","MESALAMINEANDA  #219997","ORIG-1","MESALAMINE","DIFGEN PHARMS","","Approval"
"03/10/2026","DESVENLAFAXINE SUCCINATEANDA  #220460","ORIG-1","DESVENLAFAXINE SUCCINATE","YICHANG HUMANWELL","","Approval"
"03/11/2026","OZURDEXNDA   #022315","SUPPL-19","DEXAMETHASONE","ABBVIE","Labeling","Approval"
"03/11/2026","LABETALOL HYDROCHLORIDEANDA  #207863","SUPPL-4","LABETALOL HYDROCHLORIDE","HIBROW HLTHCARE","Labeling","Approval"
"03/11/2026","SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINERANDA  #207956","SUPPL-7","SODIUM CHLORIDE","LABORATORIOS GRIFOLS","Labeling","Approval"
"03/11/2026","LANSOPRAZOLENDA   #208025","SUPPL-18","LANSOPRAZOLE","DEXCEL","Labeling","Approval"
"03/11/2026","LINAGLIPTIN AND METFORMIN HYDROCHLORIDEANDA  #208449","SUPPL-1","LINAGLIPTIN; METFORMIN HYDROCHLORIDE","ZYDUS PHARMS","Labeling","Approval"
"03/11/2026","TESTOSTERONEANDA  #208620","SUPPL-11","TESTOSTERONE","ENCUBE","Labeling","Approval"
"03/11/2026","OMEPRAZOLENDA   #209400","SUPPL-21","OMEPRAZOLE","DEXCEL","Labeling","Approval"
"03/11/2026","FERRIC CITRATEANDA  #212563","ORIG-1","FERRIC CITRATE","TEVA PHARMS USA","","Approval"
"03/11/2026","APHEXDANDA   #217159","SUPPL-9","MOTIXAFORTIDE ACETATE","AYRMID PHARMA","Labeling","Approval"
